 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,4,17,14,15,21,43,25,70,87,68,171,122,158,198,180,174,156,242,187,236,213,228,229,186,137,140,86,79,34,58,61,24,13,5,12,17,6,5,0,3721,1.50614,4.40136
10.1.2.2,0,0,0,22,15,6,13,66,44,94,88,134,109,122,154,214,218,211,179,239,226,233,241,184,180,176,112,93,94,45,24,36,45,16,40,16,6,0,6,0,3701,1.50249,4.65535
10.1.3.2,16,0,0,15,5,9,34,31,50,73,94,115,108,116,189,195,177,245,215,229,201,195,223,161,143,181,142,106,100,82,68,36,13,39,18,21,5,9,0,0,3659,1.5361,5.88996
10.1.4.2,0,0,17,0,22,11,35,28,54,70,104,86,131,140,175,197,181,181,234,270,255,239,188,230,190,131,114,83,80,79,55,25,38,6,19,17,0,0,0,0,3685,1.57498,5.6933
10.1.5.2,5,0,12,10,0,14,57,36,68,71,33,103,121,165,141,256,195,186,181,226,198,300,205,169,214,123,136,136,84,53,46,34,33,16,23,12,4,6,0,0,3672,1.48264,4.15558
10.1.6.2,0,3,0,9,7,0,16,52,92,74,84,142,116,151,172,169,130,197,278,242,250,209,173,208,197,170,118,49,76,54,73,54,52,23,16,4,8,0,0,0,3668,1.54066,5.64353
10.1.7.2,3,4,3,15,4,28,0,38,65,101,116,112,95,108,226,197,215,210,235,236,201,244,215,139,181,162,118,132,79,93,54,61,43,20,7,4,22,0,0,0,3786,1.51576,4.82457
10.1.8.2,0,8,0,18,13,25,37,0,55,88,79,119,176,148,188,174,200,196,285,257,213,224,178,180,172,126,95,118,68,81,56,28,21,23,31,14,0,6,0,0,3700,1.58107,6.1673
10.1.9.2,6,9,5,11,8,19,19,58,0,62,53,98,121,140,184,178,256,221,143,241,246,230,227,176,182,149,162,121,73,62,91,62,21,12,16,17,3,8,0,0,3690,1.56771,6.57793
10.1.10.2,0,6,0,13,18,18,21,56,64,0,101,100,136,118,160,180,155,238,223,298,232,227,187,171,230,149,166,126,66,87,37,36,32,24,17,12,10,6,0,0,3720,1.55228,6.04996
10.1.11.2,0,0,11,8,8,21,34,46,83,64,0,104,114,142,229,193,190,251,238,262,219,179,148,221,110,150,173,138,52,95,52,31,42,23,14,17,0,5,16,0,3683,1.64459,7.86841
10.1.12.2,0,0,11,0,19,15,28,32,63,70,78,0,108,156,158,194,237,198,253,272,192,213,233,226,187,156,159,114,86,60,66,58,42,16,21,10,0,16,0,0,3747,1.49609,4.59776
10.1.13.2,11,0,4,15,3,36,38,49,38,45,110,80,0,189,229,231,215,186,217,286,238,217,210,216,145,203,100,125,81,68,53,21,45,21,8,23,3,0,0,0,3759,1.64364,8.35125
10.1.14.2,0,12,11,0,13,11,28,20,56,65,94,119,156,0,154,226,289,209,256,218,212,241,213,185,160,129,170,56,94,60,75,39,42,39,34,9,14,0,0,0,3709,1.52588,5.2422
10.1.15.2,0,5,11,25,15,27,19,49,63,90,92,81,138,163,0,199,177,245,265,258,189,263,203,161,170,172,141,148,110,71,69,41,28,13,23,4,3,0,0,0,3731,1.45321,3.2068
10.1.16.2,0,0,3,26,14,54,39,60,51,36,101,65,118,162,154,0,225,187,272,186,192,291,264,181,181,173,149,148,73,61,58,46,42,12,14,24,8,4,4,0,3678,1.553,6.13797
10.1.17.2,6,0,9,11,35,11,47,54,44,55,100,115,150,136,155,215,0,258,240,238,201,212,197,200,158,179,145,121,92,52,83,33,41,46,14,23,3,5,5,0,3689,1.69874,8.87467
10.1.18.2,0,3,0,5,15,14,21,25,29,43,89,144,175,163,181,157,283,0,262,292,277,276,195,181,205,132,126,79,70,65,36,43,30,24,16,0,8,5,0,0,3669,1.74048,10.1589
10.1.19.2,0,0,5,6,29,43,37,24,52,85,102,95,143,123,183,229,207,210,0,267,255,249,179,175,208,144,142,102,111,75,34,51,32,10,36,4,6,0,0,0,3653,1.66839,8.29649
10.1.20.2,0,4,0,4,9,32,14,58,62,88,74,123,207,137,155,227,260,191,255,0,263,186,180,241,149,184,154,78,105,32,96,48,15,22,20,6,14,3,3,0,3699,1.82342,11.9891
10.1.21.2,0,8,3,13,35,4,26,56,64,52,73,156,141,190,201,225,207,171,220,266,0,228,228,185,230,124,132,119,124,58,17,23,38,28,12,14,5,7,0,0,3683,1.6894,8.52566
10.1.22.2,0,0,16,4,13,18,24,41,86,41,88,89,157,152,187,160,226,184,225,220,236,0,249,177,209,155,148,102,109,64,90,89,34,15,14,15,6,0,0,0,3643,1.8751,12.9548
10.1.23.2,0,7,13,0,10,25,30,48,40,78,90,110,147,142,231,172,183,312,251,268,273,166,0,197,158,177,147,114,94,57,37,37,30,33,16,23,21,0,0,0,3737,1.65977,8.0222
10.1.24.2,0,16,5,13,11,13,36,61,65,66,127,84,130,174,245,219,228,190,221,228,221,233,226,0,146,175,104,105,78,61,40,43,50,24,12,0,9,4,0,0,3663,1.56147,5.73576
10.1.25.2,0,9,7,3,17,54,42,42,65,56,99,102,98,238,194,219,189,239,192,263,206,222,207,194,0,146,115,108,102,49,70,55,35,12,7,6,9,6,4,0,3681,1.59253,6.32983
10.1.26.2,0,10,13,0,4,16,26,42,83,27,82,99,143,149,173,223,219,253,213,220,263,164,219,226,224,0,145,98,91,79,57,52,17,25,10,13,15,6,0,0,3699,1.62567,6.7674
10.1.27.2,0,6,6,17,16,5,27,40,50,75,67,110,167,161,173,182,204,260,259,208,230,246,203,162,152,120,0,111,96,60,87,41,23,25,25,9,11,10,0,0,3644,1.54818,5.87298
10.1.28.2,0,9,3,10,20,37,27,40,61,75,80,126,119,130,175,146,194,260,294,274,195,253,188,163,194,87,111,0,90,93,47,50,22,18,27,15,13,0,0,0,3646,1.50837,5.12184
10.1.29.2,5,13,12,0,20,30,30,73,51,69,108,104,122,124,171,186,146,265,222,224,204,275,264,245,167,150,154,82,0,61,38,51,16,43,13,0,0,3,0,0,3741,1.49436,4.10772
10.1.30.2,3,9,13,16,27,13,28,62,54,73,103,96,147,119,200,180,229,192,183,204,237,164,224,196,200,121,188,113,119,0,70,37,53,23,16,0,4,4,0,0,3720,1.61396,6.98364
10.1.31.2,4,7,15,17,18,29,25,40,88,72,125,120,100,145,140,176,186,227,224,141,227,267,231,133,157,172,168,115,107,43,0,46,45,28,35,0,6,0,4,0,3683,1.47599,3.28691
10.1.32.2,0,4,11,24,3,10,40,37,52,70,58,110,163,137,200,203,181,254,252,227,263,240,143,169,130,124,141,118,94,57,84,0,44,21,0,4,8,12,4,0,3692,1.55154,5.68598
10.1.33.2,6,0,0,28,8,6,7,33,36,53,94,109,137,183,184,184,252,229,241,233,232,174,194,152,149,144,177,156,71,61,79,45,0,4,23,12,8,12,0,0,3716,1.90085,12.0676
10.1.34.2,0,0,4,10,14,21,40,53,57,69,75,105,144,107,137,151,179,245,237,170,224,222,210,229,194,196,105,113,126,61,71,28,33,0,12,12,22,0,0,0,3676,1.88488,12.2968
10.1.35.2,0,0,0,21,18,18,11,27,60,122,110,81,137,144,131,168,237,221,262,202,244,163,249,186,219,158,97,92,89,73,41,51,30,43,0,14,15,0,0,0,3734,1.87488,11.4194
10.1.36.2,0,6,4,14,13,16,26,54,35,67,83,89,164,155,164,176,249,223,236,227,204,239,215,196,168,136,106,93,78,64,45,38,42,27,45,0,17,0,0,0,3714,1.86418,11.8679
10.1.37.2,0,13,10,0,19,10,69,37,57,77,99,106,113,134,212,153,159,242,171,260,251,188,219,175,163,161,106,126,126,72,54,36,20,29,12,4,0,9,0,0,3692,1.89297,11.0847
10.1.38.2,0,10,4,10,9,20,45,70,45,62,94,88,98,145,112,167,184,180,257,272,234,164,225,259,145,180,166,101,72,91,68,55,19,28,9,20,0,0,6,0,3714,2.03131,15.1016
10.1.39.2,0,12,14,5,17,40,20,18,32,62,101,118,133,134,158,197,258,244,220,232,235,267,204,152,161,155,96,90,81,101,75,16,44,19,6,11,8,7,0,0,3743,1.90837,12.4872
10.1.40.2,0,0,19,12,5,28,47,22,76,66,79,84,173,155,153,178,219,195,238,215,235,209,209,188,161,125,106,191,73,73,65,44,21,12,12,13,0,0,6,0,3707,2.10975,17.6516
"Total de hormigas enviadas",147947
"Suma de las medias de los tiempos",66.2708
"Media de las medias de los tiempos",1.65677
"Varianza de las varianzas de los tiempos",11.6219
