 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,14,0,12,24,5,32,47,66,74,74,63,146,138,169,179,190,219,236,229,244,182,231,197,160,151,132,144,101,67,55,43,24,22,14,0,6,3,6,0,3699,1.17631,0.00633897
10.1.2.2,0,0,0,15,16,3,55,34,53,83,61,108,155,157,185,196,224,171,221,212,249,194,211,179,228,106,145,102,61,74,52,66,31,23,23,10,11,3,10,0,3727,1.17849,0.00623999
10.1.3.2,0,0,0,19,5,23,32,29,41,87,75,90,161,120,184,167,222,242,225,225,227,190,199,167,170,179,135,85,78,80,50,43,31,19,11,4,8,0,0,0,3623,1.18069,0.006567
10.1.4.2,9,7,8,0,4,19,21,51,68,119,106,105,133,115,171,196,223,176,198,209,243,253,193,203,157,135,115,89,83,93,50,38,31,28,11,13,8,0,6,0,3687,1.17764,0.00639228
10.1.5.2,0,3,0,9,0,21,45,37,66,63,76,112,156,188,172,138,143,210,245,237,191,240,234,192,160,128,134,113,85,106,51,36,37,16,13,12,4,0,6,0,3679,1.18009,0.00635155
10.1.6.2,16,0,8,16,15,0,31,47,83,77,50,116,160,154,186,133,226,233,251,182,205,227,205,230,159,131,138,133,69,59,66,27,20,16,14,11,11,3,0,0,3708,1.18129,0.00649875
10.1.7.2,0,7,6,5,7,16,0,57,62,93,66,165,115,127,148,190,193,234,180,263,279,177,214,170,154,191,122,156,95,79,44,36,54,22,29,13,3,0,3,0,3775,1.17927,0.00641532
10.1.8.2,5,0,11,13,9,45,17,0,57,73,115,62,181,179,123,218,166,226,247,212,186,251,219,194,236,148,91,94,78,49,55,50,33,14,15,11,4,9,0,0,3696,1.1784,0.00636722
10.1.9.2,5,3,24,3,21,33,21,36,0,48,48,104,140,164,266,184,163,280,223,261,184,172,227,189,211,159,109,92,76,84,58,52,19,23,17,26,4,4,0,0,3733,1.18216,0.00612019
10.1.10.2,5,4,6,7,18,27,31,41,41,0,129,117,105,198,113,177,194,225,228,241,277,211,243,193,181,92,137,143,111,50,74,48,17,8,25,19,6,9,6,0,3757,1.18666,0.00648701
10.1.11.2,6,0,24,28,20,40,33,54,78,67,0,107,129,139,218,141,263,200,237,169,248,230,213,204,155,144,98,95,101,78,78,37,21,9,27,6,0,0,0,0,3697,1.18372,0.00608052
10.1.12.2,0,16,4,8,18,19,16,22,41,73,97,0,167,202,134,128,279,244,259,222,247,162,227,190,193,188,84,115,116,59,51,40,27,17,30,8,10,0,0,0,3713,1.18192,0.00639818
10.1.13.2,0,4,0,5,12,7,21,23,61,93,99,142,0,105,188,181,238,218,201,241,240,290,228,185,164,176,146,100,67,73,62,42,39,14,27,6,4,17,6,0,3725,1.18217,0.00626498
10.1.14.2,0,0,9,8,9,20,18,37,56,56,100,99,148,0,201,182,227,244,213,238,174,261,206,211,138,151,174,158,57,89,70,71,26,22,8,10,17,0,0,0,3708,1.18533,0.00634869
10.1.15.2,4,5,9,6,18,14,48,50,61,52,138,115,176,158,0,208,199,235,199,235,220,193,200,157,180,186,172,106,95,65,44,20,52,16,7,24,13,6,3,0,3689,1.18348,0.00627538
10.1.16.2,0,0,3,12,13,23,22,38,57,71,58,81,171,148,161,0,213,256,241,274,219,204,258,254,208,132,167,135,89,33,35,26,46,18,18,14,12,11,0,0,3721,1.1845,0.00644115
10.1.17.2,10,0,11,12,21,30,29,42,47,40,112,64,177,192,221,162,0,252,311,294,197,259,152,210,187,183,131,120,73,76,45,40,35,3,9,19,11,5,5,0,3787,1.18584,0.00638204
10.1.18.2,5,19,0,6,26,28,36,25,61,113,107,102,91,175,184,202,165,0,278,230,215,246,257,201,157,140,87,128,89,82,54,64,31,20,22,11,5,0,11,0,3673,1.18811,0.00649439
10.1.19.2,6,4,0,16,27,38,24,69,45,74,62,142,164,154,185,159,209,265,0,198,198,186,233,223,198,146,140,141,126,113,57,39,32,35,23,21,0,5,0,0,3757,1.18854,0.00603288
10.1.20.2,0,4,9,12,10,11,32,27,59,75,81,118,143,136,191,216,223,203,263,0,234,227,226,214,159,182,105,106,57,106,96,38,20,25,39,10,7,4,11,0,3679,1.18706,0.00674405
10.1.21.2,4,4,9,26,3,16,26,28,69,67,61,128,133,142,154,184,207,259,277,215,0,244,217,181,207,208,157,106,91,103,35,47,43,11,15,8,0,0,0,0,3685,1.1857,0.0062543
10.1.22.2,4,14,0,12,28,25,25,35,94,40,74,89,172,156,168,221,156,258,198,253,266,0,192,189,232,160,154,109,74,70,69,58,33,21,19,8,13,13,6,0,3708,1.18725,0.0061498
10.1.23.2,6,0,17,4,19,28,36,53,82,69,141,85,114,137,176,193,147,246,239,245,211,200,0,186,224,132,164,101,91,87,53,31,41,32,18,0,18,15,7,0,3648,1.18464,0.0062121
10.1.24.2,3,5,8,10,16,29,48,41,57,90,50,94,132,149,198,202,216,264,201,336,221,208,189,0,170,176,109,105,91,61,50,60,23,22,18,10,9,0,0,0,3671,1.18672,0.00624331
10.1.25.2,15,12,15,12,12,19,18,41,54,86,75,104,158,159,187,231,190,245,244,249,199,211,231,190,0,131,111,146,106,69,25,70,26,23,8,8,14,0,0,0,3694,1.18701,0.00653105
10.1.26.2,0,3,12,12,8,18,45,46,84,122,85,126,108,91,132,221,219,234,266,245,211,223,189,180,215,0,149,146,87,85,42,26,35,37,12,22,3,0,0,0,3739,1.18859,0.0065449
